"","event_code","up_to_match","probability"
"1","2025mdsev",20,83.9285714285714
"2","2025mdsev",21,83.9285714285714
"3","2025mdsev",22,87.5
"4","2025mdsev",23,80.3571428571429
"5","2025mdsev",24,85.7142857142857
"6","2025mdsev",25,85.7142857142857
"7","2025mdsev",26,83.9285714285714
"8","2025mdsev",27,82.1428571428571
"9","2025mdsev",28,85.7142857142857
"10","2025mdsev",29,83.9285714285714
"11","2025mdsev",30,83.9285714285714
"12","2025mdsev",31,87.5
"13","2025mdsev",32,87.5
"14","2025mdsev",33,85.7142857142857
"15","2025mdsev",34,87.5
"16","2025mdsev",35,85.7142857142857
"17","2025mdsev",36,85.7142857142857
"18","2025mdsev",37,89.2857142857143
"19","2025mdsev",38,87.5
"20","2025mdsev",39,87.5
"21","2025mdsev",40,87.5
"22","2025mdsev",41,87.5
"23","2025mdsev",42,87.5
"24","2025mdsev",43,87.5
"25","2025mdsev",44,85.7142857142857
"26","2025mdsev",45,89.2857142857143
"27","2025mdsev",46,87.5
"28","2025mdsev",47,89.2857142857143
"29","2025mdsev",48,89.2857142857143
"30","2025mdsev",49,83.9285714285714
"31","2025mdsev",50,85.7142857142857
"32","2025mdsev",51,87.5
"33","2025mdsev",52,89.2857142857143
"34","2025mdsev",53,87.5
"35","2025mdsev",54,89.2857142857143
"36","2025mdsev",55,89.2857142857143
"37","2025mdsev",56,89.2857142857143
